0,4.5
0.546,3.60019
0.771,2.88034
0.922,2.30429
1.034,1.84561
1.118,1.47705
1.183,1.18427
1.235,0.950046
1.279,0.751855
1.323,0.553664
1.367,0.355472
1.411,0.157281
1.455,-0.0409104
1.499,-0.239102
1.543,-0.437293
1.587,-0.635484
1.631,-0.833676
1.675,-1.03187
1.72,-1.23456
1.774,-1.4778
1.839,-1.77058
1.917,-2.12192
2.011,-2.54533
2.128,-3.05439
2.284,-3.66401
2.51,-4.39659
4.02,-3.52047
4.191,-2.81916
4.316,-2.25572
4.407,-1.80863
4.48,-1.44998
4.539,-1.16011
4.584,-0.932638
4.621,-0.732689
4.658,-0.53274
4.695,-0.332791
4.732,-0.132842
4.769,0.0671068
4.806,0.267056
4.843,0.467005
4.88,0.666953
4.917,0.866902
4.954,1.06685
4.993,1.27761
5.04,1.5316
5.096,1.83422
5.163,2.19629
5.244,2.63402
5.348,3.15608
5.481,3.7831
5.663,4.53601
5.962,5.4419
7.144,4.3559
7.34,3.48762
7.477,2.79144
7.577,2.23825
7.657,1.79082
7.721,1.43288
7.768,1.15105
7.805,0.923471
7.837,0.726646
7.869,0.529822
7.901,0.332997
7.933,0.136173
7.965,-0.060652
7.997,-0.257477
8.029,-0.454301
8.061,-0.651126
8.093,-0.84795
8.125,-1.04477
8.158,-1.24775
8.198,-1.49378
8.246,-1.78902
8.304,-2.14576
8.373,-2.57016
8.456,-3.08068
8.563,-3.6922
8.701,-4.42767
8.892,-5.30987
9.219,-6.3714
